seed,allocation,speed,health,hunting,elements,farming,years,peak_population,final_population,tech_tier,end_state,dominant_temperament,buildings,wars
127704,naive-even,5,5,5,5,5,300,97,55,4,ENDURANCE,PRAGMATIC,69,563
127704,farmer,3,4,3,4,8,300,802,801,5,ENDURANCE,PRAGMATIC,157,175
127704,farm+elements,3,4,3,6,6,300,73,2,3,ENDURANCE,PRAGMATIC,26,186
127704,hardy,3,8,3,5,4,2,50,0,0,COLLAPSE,ZEALOT,0,0
127704,swift,8,4,3,3,5,10,59,0,0,CONQUEST,AMBITIOUS,15,9
127704,hunter,5,4,8,3,3,0,50,0,0,COLLAPSE,NONE,0,0
127704,warlike,4,3,7,3,6,300,446,444,5,ENDURANCE,ZEALOT,143,259
127704,scholar-ish,7,5,3,3,5,300,165,127,5,ENDURANCE,PRAGMATIC,90,311
127704,weathered,3,4,3,8,5,10,70,0,0,CONQUEST,PASSIVE,0,5
127704,bad,8,3,3,3,1,0,50,0,0,COLLAPSE,NONE,0,0
127704,pure-speed,8,4,3,3,4,1,50,0,0,COLLAPSE,ZEALOT,0,0
127704,pure-health,3,8,3,4,4,1,50,0,0,COLLAPSE,AMBITIOUS,0,0
127704,pure-hunting,3,4,8,3,4,84,60,0,0,CONQUEST,AMBITIOUS,0,165
127704,pure-elements,3,4,3,8,4,2,50,0,0,COLLAPSE,ZEALOT,0,0
127704,pure-farming,3,4,3,4,8,300,802,801,5,ENDURANCE,PRAGMATIC,157,175
135623,naive-even,5,5,5,5,5,148,68,0,1,CONQUEST,ZEALOT,0,149
135623,farmer,3,4,3,4,8,92,57,0,0,CONQUEST,PASSIVE,0,145
135623,farm+elements,3,4,3,6,6,227,1147,1147,6,ASCENSION,ZEALOT,241,109
135623,hardy,3,8,3,5,4,1,50,0,0,COLLAPSE,PRAGMATIC,0,0
135623,swift,8,4,3,3,5,58,55,0,0,CONQUEST,PRAGMATIC,0,65
135623,hunter,5,4,8,3,3,0,50,0,0,COLLAPSE,NONE,0,0
135623,warlike,4,3,7,3,6,210,57,0,1,CONQUEST,PRAGMATIC,8,136
135623,scholar-ish,7,5,3,3,5,102,56,0,0,CONQUEST,AMBITIOUS,0,137
135623,weathered,3,4,3,8,5,5,53,0,0,CONQUEST,ZEALOT,0,5
135623,bad,8,3,3,3,1,0,50,0,0,COLLAPSE,NONE,0,0
135623,pure-speed,8,4,3,3,4,19,50,0,0,CONQUEST,PASSIVE,0,28
135623,pure-health,3,8,3,4,4,0,50,0,0,COLLAPSE,NONE,0,0
135623,pure-hunting,3,4,8,3,4,2,50,0,0,COLLAPSE,PRAGMATIC,0,0
135623,pure-elements,3,4,3,8,4,1,50,0,0,COLLAPSE,PRAGMATIC,0,0
135623,pure-farming,3,4,3,4,8,92,57,0,0,CONQUEST,PASSIVE,0,145
143542,naive-even,5,5,5,5,5,300,271,190,5,ENDURANCE,ZEALOT,90,332
143542,farmer,3,4,3,4,8,300,348,271,5,ENDURANCE,ZEALOT,109,315
143542,farm+elements,3,4,3,6,6,300,316,246,6,ENDURANCE,PRAGMATIC,110,371
143542,hardy,3,8,3,5,4,1,50,0,0,COLLAPSE,ZEALOT,0,0
143542,swift,8,4,3,3,5,300,67,48,4,ENDURANCE,AMBITIOUS,78,163
143542,hunter,5,4,8,3,3,1,50,0,0,COLLAPSE,ZEALOT,0,0
143542,warlike,4,3,7,3,6,300,96,59,4,ENDURANCE,AMBITIOUS,64,218
143542,scholar-ish,7,5,3,3,5,111,82,0,1,CONQUEST,AMBITIOUS,0,186
143542,weathered,3,4,3,8,5,4,54,0,0,COLLAPSE,ZEALOT,1,0
143542,bad,8,3,3,3,1,0,50,0,0,COLLAPSE,NONE,0,0
143542,pure-speed,8,4,3,3,4,19,50,0,0,CONQUEST,PRAGMATIC,0,15
143542,pure-health,3,8,3,4,4,1,50,0,0,COLLAPSE,PASSIVE,0,0
143542,pure-hunting,3,4,8,3,4,2,50,0,0,COLLAPSE,ZEALOT,0,0
143542,pure-elements,3,4,3,8,4,1,50,0,0,COLLAPSE,ZEALOT,0,0
143542,pure-farming,3,4,3,4,8,300,348,271,5,ENDURANCE,ZEALOT,109,315
151461,naive-even,5,5,5,5,5,300,134,41,5,ENDURANCE,PASSIVE,120,375
151461,farmer,3,4,3,4,8,300,214,61,5,ENDURANCE,AMBITIOUS,125,299
151461,farm+elements,3,4,3,6,6,300,290,232,5,ENDURANCE,ZEALOT,151,336
151461,hardy,3,8,3,5,4,1,50,0,0,COLLAPSE,AMBITIOUS,0,0
151461,swift,8,4,3,3,5,300,115,89,5,ENDURANCE,AMBITIOUS,118,390
151461,hunter,5,4,8,3,3,300,340,283,5,ENDURANCE,AMBITIOUS,143,411
151461,warlike,4,3,7,3,6,300,307,229,6,ENDURANCE,ZEALOT,165,306
151461,scholar-ish,7,5,3,3,5,300,391,162,6,ENDURANCE,PRAGMATIC,149,269
151461,weathered,3,4,3,8,5,300,137,73,5,ENDURANCE,AMBITIOUS,98,260
151461,bad,8,3,3,3,1,0,50,0,0,COLLAPSE,NONE,0,0
151461,pure-speed,8,4,3,3,4,92,64,0,0,CONQUEST,AMBITIOUS,0,154
151461,pure-health,3,8,3,4,4,0,50,0,0,COLLAPSE,NONE,0,0
151461,pure-hunting,3,4,8,3,4,107,83,0,2,CONQUEST,PRAGMATIC,0,171
151461,pure-elements,3,4,3,8,4,1,50,0,0,COLLAPSE,AMBITIOUS,0,0
151461,pure-farming,3,4,3,4,8,300,214,61,5,ENDURANCE,AMBITIOUS,125,299
